IMG¤PRED¤CONF
new_0_1.png¤8 - W - A3 - 04180 - 158 - HC¤0.9664009809494019
new_0_10.png¤P1150-LTM-EAU-04180-03¤0.9796901345252991
new_0_11.png¤Pt150-LTM-EAU-04180-05¤0.9535421133041382
new_0_12.png¤20 - W - A3 - 04180 - 057 - HC¤0.9779883623123169
new_0_13.png¤20 - W - A3 - 04180 - 161 - HC¤0.9743444919586182
new_0_14.png¤25 - W - A3 - 04180 - 162 - HC¤0.9832435250282288
new_0_15.png¤P1150 -LTM-EAU-04180¤0.9563105702400208
new_0_16.png¤8 - WFI - A2 - 04180 - 155 - HC¤0.9685210585594177
new_0_17.png¤20 - W - A3 - 04180 - 076 - HC¤0.9814847707748413
new_0_18.png¤8 - WFI - A2 - 04180 - 157 - HC¤0.9495672583580017
new_0_19.png¤20 - W - A3 - 04180 - 079 - HC¤0.9796276092529297
new_0_2.png¤20 - W - A3 - 04180 - 078 - HC¤0.9835039377212524
new_0_20.png¤15 - W -A3 - 0410 - 056 - HC¤0.8866081237792969
new_0_3.png¤20 - W - A3 - 04180 - 075 - HC¤0.9802668690681458
new_0_4.png¤15 - WFI - A2 - 04180 - 055 - HC¤0.990394651889801
new_0_5.png¤20 - WFI - A2 - 04180 - 074 - HC¤0.9766089916229248
new_0_6.png¤20 - WFI - A2 - 04180 - 077 - HC¤0.9700497388839722
new_0_7.png¤8 - WFI - A2 - 04180 - 159 - HC¤0.9904676675796509
new_0_8.png¤8 - W - A3 - 04180 -160 - HC¤0.9707845449447632
new_0_9.png¤40 - WFI - A2 - 04180 - 005 - HC¤0.9761530160903931
new_1_0.png¤P1150-LTM-EAU-04180-06¤0.972780168056488
new_1_1.png¤10 - WFI - A2 - 04180 - 143 - HC¤0.9760952591896057
new_1_10.png¤10 - WFI - A2 - 04180 - 133 - HC¤0.9739116430282593
new_1_11.png¤Ft150-LTM-EAU-04180-04¤0.9722853302955627
new_1_12.png¤8 - W - A3 - 04180 - 164 - HC¤0.9734320640563965
new_1_13.png¤20 - W - A3 - 04180 - 134 - HC¤0.9805501103401184
new_1_14.png¤P1150 -LTM-EAU-04180¤0.9563105702400208
new_1_15.png¤10 - W - A3 - 04180 - 135 - HC¤0.8871361017227173
new_1_16.png¤8 - W - A3 - 041B0 - 165 - HC¤0.9260427951812744
new_1_17.png¤20 - W - A3 - 04180 - 163 - HC¤0.9728801250457764
new_1_18.png¤20 - W - A3 - 04180 - 088 - HC¤0.9630848169326782
new_1_19.png¤20 - W - A3 - 04180 - 087 - HC¤0.9759048819541931
new_1_2.png¤20 - AC - A3 - 04180 - 093¤0.9970719218254089
new_1_20.png¤20 - W - A3 - 04180 - 086 - HC¤0.9784889817237854
new_1_21.png¤20 - W - A3 - 04180 - 085 - HC¤0.9580909609794617
new_1_22.png¤20 - W - A3 - 04180 - 084¤0.9850706458091736
new_1_3.png¤20 - FGr - A3 - 04180 - 083 - CC¤0.9696938395500183
new_1_4.png¤50 - EGr - A3 - 04180 - 081 - CC¤0.9752482175827026
new_1_5.png¤20 - WFI - A2 - 04180 - 008 - HC¤0.9883633852005005
new_1_6.png¤50 - EGa - A3 - 04180 - 080 - CC¤0.9857834577560425
new_1_7.png¤20 - FGa - A3 - 04180 - 082 - CC¤0.9809604287147522
new_1_8.png¤20 - W - A3 - 04180 - 089 - CC¤0.9817895889282227
new_1_9.png¤40 - WFI - A2 - 04180 - 005 - HC¤0.9707658886909485
new_2_0.png¤40 - WFI - A2 - 04180 - 005 - HC¤0.967384397983551
new_2_1.png¤P1150-LTM-EAU-04180-05¤0.9938448071479797
new_2_10.png¤65 - EGr - A3 - 04180 - 062 - CC¤0.9794343709945679
new_2_11.png¤20 - WFI - A2 - 04180 - 006 - HC¤0.978111743927002
new_2_12.png¤65 - EGa - A3 - 04180 - 061 - CC¤0.9784153699874878
new_2_13.png¤P1150 -LTM-EAU-04180¤0.9563105702400208
new_2_14.png¤8 - W - A3 - 04180 - 169 - HC¤0.9410428404808044
new_2_15.png¤20 - W - A3 - 04180 - 167 - HC¤0.9532331824302673
new_2_16.png¤20 - W - A3 - 04180 - 066 - HC¤0.9276729822158813
new_2_17.png¤20 - W - A3 - 041B0 - 065 - HC¤0.9257695078849792
new_2_18.png¤20 - W - A3 - 04180 - 064 - HC¤0.9520479440689087
new_2_19.png¤20 - W - A3 - 4180 - 063¤0.9816223978996277
new_2_2.png¤15 - W - A3 - 04180 - 059 - HC¤0.9766632914543152
new_2_3.png¤8 -WFI -A2 - 04180 -168 -HC¤0.8960726261138916
new_2_4.png¤15 - WFI - A2 - 04180 - 058 - HC¤0.9664254188537598
new_2_5.png¤20 - W - A3 - 04180 - 060 - HC¤0.9953849911689758
